"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"	"metadata_KEGG_Description"	"metadata_KEGG_Pathways"	"clean_KEGG_Pathways"
"11"	"K00167"	80.8603497141723	-0.727914999629832	0.177106403904151	-4.11004336141213	3.95584827105684e-05	0.000498959352679528	"K00167"	"2-oxoisovalerate dehydrogenase E1 component, beta subunit [EC:1.2.4.4]"	"Metabolism;Amino Acid Metabolism;Valine, leucine and isoleucine degradation"	"[['Metabolism', 'Amino Acid Metabolism', 'Valine, leucine and isoleucine degradation']]"
"12"	"K00209"	51.2156914401475	1.96500106460924	0.406152983453767	4.83808107944852	1.3109866494389e-06	4.61260302710477e-05	"K00209"	"enoyl-[acyl-carrier-protein] reductase (NADPH2, B-specific) [EC:1.3.1.10]"	"Unclassified;Metabolism;Lipid metabolism"	"[['Unclassified', 'Metabolism', 'Lipid metabolism']]"
"13"	"K00228"	251.957563073241	0.815832225744016	0.206408432601162	3.95251402989154	7.73343933690083e-05	0.000818978882648428	"K00228"	"coproporphyrinogen III oxidase [EC:1.3.3.3]"	"Metabolism;Metabolism of Cofactors and Vitamins;Porphyrin and chlorophyll metabolism"	"[['Metabolism', 'Metabolism of Cofactors and Vitamins', 'Porphyrin and chlorophyll metabolism']]"
"14"	"K00365"	17.627108448799	-1.39068136054254	0.282428098228643	-4.92401913713521	8.47845395682992e-07	3.25885676815815e-05	"K00365"	"urate oxidase [EC:1.7.3.3]"	"Metabolism;Biosynthesis of Other Secondary Metabolites;Caffeine metabolism|Metabolism;Nucleotide Metabolism;Purine metabolism"	"[['Metabolism', 'Biosynthesis of Other Secondary Metabolites', 'Caffeine metabolism'], ['Metabolism', 'Nucleotide Metabolism', 'Purine metabolism']]"
"15"	"K00375"	520.883143459568	1.04093614912749	0.231540100732185	4.4957056934665	6.93395898224013e-06	0.000157799202710724	"K00375"	"GntR family transcriptional regulator / MocR family aminotransferase"	"Genetic Information Processing;Transcription;Transcription factors"	"[['Genetic Information Processing', 'Transcription', 'Transcription factors']]"
"16"	"K00469"	14.2827831980931	-1.64887135876935	0.317513603504384	-5.19307311740608	2.06850898808246e-07	1.05356057793e-05	"K00469"	"inositol oxygenase [EC:1.13.99.1]"	"Metabolism;Carbohydrate Metabolism;Inositol phosphate metabolism|Metabolism;Carbohydrate Metabolism;Ascorbate and aldarate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Inositol phosphate metabolism'], ['Metabolism', 'Carbohydrate Metabolism', 'Ascorbate and aldarate metabolism']]"
"17"	"K00484"	69.3335562444015	2.05999093990851	0.482542982688844	4.26903097508485	1.96324007149449e-05	0.000323058704687771	"K00484"	"4-hydroxyphenylacetate-3-hydroxylase small chain [EC:1.14.13.3]"	"Metabolism;Amino Acid Metabolism;Tyrosine metabolism"	"[['Metabolism', 'Amino Acid Metabolism', 'Tyrosine metabolism']]"
"18"	"K00500"	159.240296820177	1.04695375184077	0.247889912245038	4.22346251349616	2.40577400683283e-05	0.000363448570297795	"K00500"	"phenylalanine-4-hydroxylase [EC:1.14.16.1]"	"Metabolism;Amino Acid Metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis|Metabolism;Amino Acid Metabolism;Phenylalanine metabolism"	"[['Metabolism', 'Amino Acid Metabolism', 'Phenylalanine, tyrosine and tryptophan biosynthesis'], ['Metabolism', 'Amino Acid Metabolism', 'Phenylalanine metabolism']]"
"19"	"K00514"	11.8759806731955	-1.90809639015172	0.363543622207952	-5.24860367117171	1.53256386856117e-07	8.50327668872282e-06	"K00514"	"zeta-carotene desaturase [EC:1.3.5.6];zeta-carotene desaturase [EC:1.14.99.30]"	"Metabolism;Metabolism of Terpenoids and Polyketides;Carotenoid biosynthesis"	"[['Metabolism', 'Metabolism of Terpenoids and Polyketides', 'Carotenoid biosynthesis']]"
"20"	"K00523"	193.327988141674	1.11629450201431	0.277069060576929	4.02893957084164	5.60290170239777e-05	0.00065281739225323	"K00523"	"CDP-4-dehydro-6-deoxyglucose reductase [EC:1.17.1.1]"	"Metabolism;Carbohydrate Metabolism;Amino sugar and nucleotide sugar metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Amino sugar and nucleotide sugar metabolism']]"
"21"	"K00569"	50.6765640649016	1.83147193570049	0.382634869653718	4.78647421066971	1.69736738336894e-06	5.67345047891068e-05	"K00569"	"thiopurine S-methyltransferase [EC:2.1.1.67]"	"Metabolism;Xenobiotics Biodegradation and Metabolism;Drug metabolism - other enzymes"	"[['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Drug metabolism - other enzymes']]"
"22"	"K00603"	21.7554153029935	-1.28700121488591	0.29476349218178	-4.36621647192393	1.26417198018473e-05	0.000242526900011213	"K00603"	"glutamate formiminotransferase [EC:2.1.2.5]"	"Metabolism;Metabolism of Cofactors and Vitamins;One carbon pool by folate|Metabolism;Amino Acid Metabolism;Histidine metabolism"	"[['Metabolism', 'Metabolism of Cofactors and Vitamins', 'One carbon pool by folate'], ['Metabolism', 'Amino Acid Metabolism', 'Histidine metabolism']]"
"23"	"K00832"	130.41336714381	1.38160700613878	0.339655936425642	4.06766629983881	4.74863178926031e-05	0.000573006810712982	"K00832"	"aromatic-amino-acid transaminase [EC:2.6.1.57]"	"Metabolism;Biosynthesis of Other Secondary Metabolites;Isoquinoline alkaloid biosynthesis|Metabolism;Amino Acid Metabolism;Cysteine and methionine metabolism|Metabolism;Biosynthesis of Other Secondary Metabolites;Tropane, piperidine and pyridine alkaloid biosynthesis|Metabolism;Amino Acid Metabolism;Phenylalanine metabolism|Metabolism;Amino Acid Metabolism;Amino acid related enzymes|Metabolism;Amino Acid Metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis|Metabolism;Amino Acid Metabolism;Tyrosine metabolism|Metabolism;Biosynthesis of Other Secondary Metabolites;Novobiocin biosynthesis"	"[['Metabolism', 'Biosynthesis of Other Secondary Metabolites', 'Isoquinoline alkaloid biosynthesis'], ['Metabolism', 'Amino Acid Metabolism', 'Cysteine and methionine metabolism'], ['Metabolism', 'Biosynthesis of Other Secondary Metabolites', 'Tropane, piperidine and pyridine alkaloid biosynthesis'], ['Metabolism', 'Amino Acid Metabolism', 'Phenylalanine metabolism'], ['Metabolism', 'Amino Acid Metabolism', 'Amino acid related enzymes'], ['Metabolism', 'Amino Acid Metabolism', 'Phenylalanine, tyrosine and tryptophan biosynthesis'], ['Metabolism', 'Amino Acid Metabolism', 'Tyrosine metabolism'], ['Metabolism', 'Biosynthesis of Other Secondary Metabolites', 'Novobiocin biosynthesis']]"
"24"	"K00848"	109.626310645727	-0.99488870926329	0.247665776253961	-4.01706172048217	5.89282941523564e-05	0.000680666343686397	"K00848"	"rhamnulokinase [EC:2.7.1.5]"	"Metabolism;Carbohydrate Metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate Metabolism;Pentose and glucuronate interconversions"	"[['Metabolism', 'Carbohydrate Metabolism', 'Fructose and mannose metabolism'], ['Metabolism', 'Carbohydrate Metabolism', 'Pentose and glucuronate interconversions']]"
"25"	"K00883"	118.339475944894	1.34895405928084	0.310466611449682	4.34492473436059	1.39323424839777e-05	0.000251723539203758	"K00883"	"2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]"	"Metabolism;Carbohydrate Metabolism;Galactose metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Galactose metabolism']]"
"26"	"K00906"	57.6247891758774	2.28616358624504	0.526132699773548	4.34522238824735	1.39134632379784e-05	0.000251723539203758	"K00906"	"isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]"	"Unclassified;Cellular Processes and Signaling;Signal transduction mechanisms"	"[['Unclassified', 'Cellular Processes and Signaling', 'Signal transduction mechanisms']]"
"27"	"K00956"	214.749386901795	1.03558304535489	0.25327496026482	4.08876994501193	4.33666677778148e-05	0.000536863285360541	"K00956"	"sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]"	"Metabolism;Energy Metabolism;Sulfur metabolism|Metabolism;Metabolism of Other Amino Acids;Selenocompound metabolism|Metabolism;Nucleotide Metabolism;Purine metabolism"	"[['Metabolism', 'Energy Metabolism', 'Sulfur metabolism'], ['Metabolism', 'Metabolism of Other Amino Acids', 'Selenocompound metabolism'], ['Metabolism', 'Nucleotide Metabolism', 'Purine metabolism']]"
"28"	"K00980"	36.7861387194503	1.76814243551659	0.420144627917903	4.2084137652287	2.57169637302985e-05	0.000380981501467137	"K00980"	"glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]"	"Metabolism;Lipid Metabolism;Glycerophospholipid metabolism"	"[['Metabolism', 'Lipid Metabolism', 'Glycerophospholipid metabolism']]"
"29"	"K01089"	26.5024847462809	1.80767958823004	0.458966776971651	3.93858483648305	8.19636134592767e-05	0.000849498846473279	"K01089"	"imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]"	"Metabolism;Amino Acid Metabolism;Histidine metabolism"	"[['Metabolism', 'Amino Acid Metabolism', 'Histidine metabolism']]"
"30"	"K01101"	17.945562086345	-1.631943979251	0.255827880433757	-6.37907008604393	1.78166492210449e-10	2.21589395428251e-08	"K01101"	"4-nitrophenyl phosphatase [EC:3.1.3.41]"	"Metabolism;Xenobiotics Biodegradation and Metabolism;Aminobenzoate degradation"	"[['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Aminobenzoate degradation']]"
"31"	"K01118"	381.609762018713	1.2815122819923	0.281365235651057	4.5546219632535	5.24798696373471e-06	0.000126424478747987	"K01118"	"FMN-dependent NADH-azoreductase [EC:1.7.-.-]"	"Unclassified;Metabolism;Others"	"[['Unclassified', 'Metabolism', 'Others']]"
"32"	"K01120"	43.4930945731469	2.16321436342942	0.480103583418983	4.50572426063648	6.61469376062394e-06	0.000152480095826797	"K01120"	"3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]"	"Metabolism;Nucleotide Metabolism;Purine metabolism"	"[['Metabolism', 'Nucleotide Metabolism', 'Purine metabolism']]"
"33"	"K01128"	7.9447482286497	-2.49848530186747	0.421002276387139	-5.93461233347334	2.94540611455682e-09	2.9170429445648e-07	"K01128"	"None"	"Unclassified;Metabolism;Others"	"[['Unclassified', 'Metabolism', 'Others']]"
"34"	"K01173"	137.552860899829	1.77116110323873	0.362697657845498	4.88329898174643	1.04325499756508e-06	3.84781222550209e-05	"K01173"	"endonuclease [EC:3.1.30.-];endonuclease G, mitochondrial"	"Cellular Processes;Cell Growth and Death;Apoptosis"	"[['Cellular Processes', 'Cell Growth and Death', 'Apoptosis']]"
"35"	"K01184"	8.23446014307341	-2.36371054938281	0.413940482023468	-5.71026669783121	1.12799269149218e-08	9.72984663564543e-07	"K01184"	"polygalacturonase [EC:3.2.1.15]"	"Metabolism;Carbohydrate Metabolism;Starch and sucrose metabolism|Metabolism;Carbohydrate Metabolism;Pentose and glucuronate interconversions"	"[['Metabolism', 'Carbohydrate Metabolism', 'Starch and sucrose metabolism'], ['Metabolism', 'Carbohydrate Metabolism', 'Pentose and glucuronate interconversions']]"
"36"	"K01222"	26.3507315546771	-1.04861413544262	0.240879994007193	-4.35326370612292	1.34125650223005e-05	0.000246496212162416	"K01222"	"6-phospho-beta-glucosidase [EC:3.2.1.86]"	"Metabolism;Carbohydrate Metabolism;Glycolysis / Gluconeogenesis"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glycolysis / Gluconeogenesis']]"
"37"	"K01241"	172.70285493756	0.919308847102695	0.232888373742501	3.94742267434592	7.89970202616522e-05	0.000834932933516435	"K01241"	"AMP nucleosidase [EC:3.2.2.4]"	"Metabolism;Nucleotide Metabolism;Purine metabolism"	"[['Metabolism', 'Nucleotide Metabolism', 'Purine metabolism']]"
"38"	"K01256"	417.656800757377	0.872971937919187	0.210318813137929	4.15070779876778	3.31448692260852e-05	0.000457694280112426	"K01256"	"aminopeptidase N [EC:3.4.11.2]"	"Metabolism;Enzyme Families;Peptidases|Metabolism;Metabolism of Other Amino Acids;Glutathione metabolism"	"[['Metabolism', 'Enzyme Families', 'Peptidases'], ['Metabolism', 'Metabolism of Other Amino Acids', 'Glutathione metabolism']]"
"39"	"K01414"	188.170657063741	1.55527459032392	0.334073260532103	4.65548960083403	3.2321172112446e-06	9.1456946273736e-05	"K01414"	"oligopeptidase A [EC:3.4.24.70]"	"Metabolism;Enzyme Families;Peptidases"	"[['Metabolism', 'Enzyme Families', 'Peptidases']]"
"40"	"K01432"	147.181977673062	1.65144386399294	0.408841133268953	4.03932904399458	5.36043216120046e-05	0.000635645037651886	"K01432"	"arylformamidase [EC:3.5.1.9]"	"Metabolism;Carbohydrate Metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Amino Acid Metabolism;Tryptophan metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glyoxylate and dicarboxylate metabolism'], ['Metabolism', 'Amino Acid Metabolism', 'Tryptophan metabolism']]"
"41"	"K01453"	77.0406917902905	1.75907962171716	0.438103254876029	4.01521696572406	5.93911335336426e-05	0.000684534013228278	"K01453"	"None"	"Unclassified;Metabolism;Others"	"[['Unclassified', 'Metabolism', 'Others']]"
"42"	"K01455"	152.474247735309	1.31446236242215	0.327647357986782	4.01182042333203	6.02523262282873e-05	0.000689355799760092	"K01455"	"formamidase [EC:3.5.1.49]"	"Metabolism;Carbohydrate Metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy Metabolism;Nitrogen metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glyoxylate and dicarboxylate metabolism'], ['Metabolism', 'Energy Metabolism', 'Nitrogen metabolism']]"
"43"	"K01458"	176.368128122336	1.85214468427364	0.402576715577935	4.60072481244903	4.21023345406297e-06	0.000109835748840628	"K01458"	"N-formylglutamate deformylase [EC:3.5.1.68]"	"Metabolism;Carbohydrate Metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Amino Acid Metabolism;Histidine metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glyoxylate and dicarboxylate metabolism'], ['Metabolism', 'Amino Acid Metabolism', 'Histidine metabolism']]"
"44"	"K01487"	178.238963633823	1.25109293966807	0.273073636139356	4.58152224929401	4.6160348215285e-06	0.000115492377284196	"K01487"	"guanine deaminase [EC:3.5.4.3]"	"Metabolism;Nucleotide Metabolism;Purine metabolism"	"[['Metabolism', 'Nucleotide Metabolism', 'Purine metabolism']]"
"45"	"K01501"	182.208695916526	1.18181065064291	0.291636579998639	4.05234024705826	5.07078477067203e-05	0.000606679126477718	"K01501"	"nitrilase [EC:3.5.5.1]"	"Metabolism;Metabolism of Other Amino Acids;Cyanoamino acid metabolism|Metabolism;Xenobiotics Biodegradation and Metabolism;Aminobenzoate degradation|Metabolism;Amino Acid Metabolism;Tryptophan metabolism|Metabolism;Xenobiotics Biodegradation and Metabolism;Styrene degradation|Metabolism;Energy Metabolism;Nitrogen metabolism"	"[['Metabolism', 'Metabolism of Other Amino Acids', 'Cyanoamino acid metabolism'], ['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Aminobenzoate degradation'], ['Metabolism', 'Amino Acid Metabolism', 'Tryptophan metabolism'], ['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Styrene degradation'], ['Metabolism', 'Energy Metabolism', 'Nitrogen metabolism']]"
"46"	"K01505"	124.805553944188	2.30731255385105	0.41949465731975	5.50021916510932	3.79319462599015e-08	2.70365446175206e-06	"K01505"	"1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]"	"Metabolism;Carbohydrate Metabolism;Propanoate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Propanoate metabolism']]"
"47"	"K01521"	36.7992114714099	1.87713123006497	0.45604775850478	4.11608476318231	3.85362632463643e-05	0.000488369516212219	"K01521"	"CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]"	"Metabolism;Lipid Metabolism;Glycerophospholipid metabolism"	"[['Metabolism', 'Lipid Metabolism', 'Glycerophospholipid metabolism']]"
"48"	"K01525"	117.127179465107	1.24499899755025	0.308129633179048	4.04050394214048	5.33364684545126e-05	0.000633874296210519	"K01525"	"bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]"	"Metabolism;Nucleotide Metabolism;Purine metabolism"	"[['Metabolism', 'Nucleotide Metabolism', 'Purine metabolism']]"
"49"	"K01575"	13.7596663543706	-1.48802966900715	0.289003284526875	-5.14883307102615	2.62112016534536e-07	1.27434096766064e-05	"K01575"	"acetolactate decarboxylase [EC:4.1.1.5]"	"Metabolism;Carbohydrate Metabolism;C5-Branched dibasic acid metabolism|Metabolism;Carbohydrate Metabolism;Butanoate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'C5-Branched dibasic acid metabolism'], ['Metabolism', 'Carbohydrate Metabolism', 'Butanoate metabolism']]"
"50"	"K01601"	91.6146472904903	1.28946240775786	0.279597652991768	4.6118498991686	3.99101154797135e-06	0.000105663018606687	"K01601"	"ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]"	"Metabolism;Carbohydrate Metabolism;Glyoxylate and dicarboxylate metabolism|Metabolism;Energy Metabolism;Carbon fixation in photosynthetic organisms"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glyoxylate and dicarboxylate metabolism'], ['Metabolism', 'Energy Metabolism', 'Carbon fixation in photosynthetic organisms']]"
"51"	"K01608"	93.1282146320061	1.9362006645426	0.408353862157059	4.74147753694542	2.12165184802675e-06	6.64841821866155e-05	"K01608"	"tartronate-semialdehyde synthase [EC:4.1.1.47]"	"Metabolism;Carbohydrate Metabolism;Glyoxylate and dicarboxylate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glyoxylate and dicarboxylate metabolism']]"
"52"	"K01611"	108.322479657581	1.61011530653883	0.362801717670487	4.43800353779255	9.07971272560126e-06	0.000195820956989549	"K01611"	"S-adenosylmethionine decarboxylase [EC:4.1.1.50]"	"Metabolism;Amino Acid Metabolism;Cysteine and methionine metabolism|Metabolism;Amino Acid Metabolism;Arginine and proline metabolism"	"[['Metabolism', 'Amino Acid Metabolism', 'Cysteine and methionine metabolism'], ['Metabolism', 'Amino Acid Metabolism', 'Arginine and proline metabolism']]"
"53"	"K01629"	14.1717088123953	-1.98584502635332	0.265312466924529	-7.4849291832118	7.15857259214413e-14	1.59516859261612e-11	"K01629"	"rhamnulose-1-phosphate aldolase [EC:4.1.2.19]"	"Metabolism;Carbohydrate Metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate Metabolism;Pentose and glucuronate interconversions"	"[['Metabolism', 'Carbohydrate Metabolism', 'Fructose and mannose metabolism'], ['Metabolism', 'Carbohydrate Metabolism', 'Pentose and glucuronate interconversions']]"
"54"	"K01631"	117.040494517618	1.39038563265192	0.312898172780465	4.44357223404894	8.84774324093088e-06	0.00019313359531632	"K01631"	"2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]"	"Metabolism;Carbohydrate Metabolism;Galactose metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Galactose metabolism']]"
"55"	"K01635"	27.844882674345	-1.62395668156588	0.255837709401964	-6.34760483652693	2.1869294619062e-10	2.54254320919007e-08	"K01635"	"tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]"	"Metabolism;Carbohydrate Metabolism;Galactose metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Galactose metabolism']]"
"56"	"K01659"	156.215545225369	1.24183944856166	0.31804565610497	3.90459490555595	9.43833483936796e-05	0.000939633576723549	"K01659"	"2-methylcitrate synthase [EC:2.3.3.5]"	"Metabolism;Carbohydrate Metabolism;Propanoate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Propanoate metabolism']]"
"57"	"K01668"	14.0119409091284	-2.04380580502186	0.261687080235216	-7.81011352637203	5.71364974103308e-15	2.18261420107464e-12	"K01668"	"tyrosine phenol-lyase [EC:4.1.99.2]"	"Metabolism;Amino Acid Metabolism;Tyrosine metabolism|Metabolism;Energy Metabolism;Nitrogen metabolism"	"[['Metabolism', 'Amino Acid Metabolism', 'Tyrosine metabolism'], ['Metabolism', 'Energy Metabolism', 'Nitrogen metabolism']]"
"58"	"K01685"	172.536779106882	1.17996742482222	0.251311528935474	4.69523793763231	2.66296569295897e-06	8.0008654640138e-05	"K01685"	"altronate hydrolase [EC:4.2.1.7]"	"Metabolism;Carbohydrate Metabolism;Pentose and glucuronate interconversions"	"[['Metabolism', 'Carbohydrate Metabolism', 'Pentose and glucuronate interconversions']]"
"59"	"K01690"	181.397049190381	1.34996158658269	0.269866422986409	5.0023325304559	5.66407800089029e-07	2.31232741593597e-05	"K01690"	"phosphogluconate dehydratase [EC:4.2.1.12]"	"Metabolism;Carbohydrate Metabolism;Pentose phosphate pathway"	"[['Metabolism', 'Carbohydrate Metabolism', 'Pentose phosphate pathway']]"
"60"	"K01713"	79.940470434152	2.39152356201585	0.433632086715228	5.51509824868287	3.48585168654481e-08	2.51923443508671e-06	"K01713"	"prephenate dehydratase [EC:4.2.1.51]"	"Metabolism;Amino Acid Metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis"	"[['Metabolism', 'Amino Acid Metabolism', 'Phenylalanine, tyrosine and tryptophan biosynthesis']]"
"61"	"K01753"	118.66355346898	1.63087422501484	0.349776523271478	4.6626177473582	3.12212344207739e-06	8.88144477033505e-05	"K01753"	"D-serine dehydratase [EC:4.3.1.18]"	"Metabolism;Amino Acid Metabolism;Glycine, serine and threonine metabolism"	"[['Metabolism', 'Amino Acid Metabolism', 'Glycine, serine and threonine metabolism']]"
"62"	"K01792"	93.1110835994251	1.85194788032134	0.381197195406363	4.85824109578541	1.18433143345782e-06	4.19457252061749e-05	"K01792"	"glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"	"Metabolism;Carbohydrate Metabolism;Glycolysis / Gluconeogenesis"	"[['Metabolism', 'Carbohydrate Metabolism', 'Glycolysis / Gluconeogenesis']]"
"63"	"K01852"	11.373662006625	-1.21282344883684	0.301256280923282	-4.02588601678216	5.67611809197072e-05	0.000658478949150963	"K01852"	"lanosterol synthase [EC:5.4.99.7]"	"Metabolism;Lipid Metabolism;Steroid biosynthesis"	"[['Metabolism', 'Lipid Metabolism', 'Steroid biosynthesis']]"
"64"	"K01922"	10.1439605298492	-1.40409890809458	0.303683798590233	-4.62355553576687	3.77217687544847e-06	0.000102672939666183	"K01922"	"phosphopantothenate-cysteine ligase [EC:6.3.2.5]"	"Metabolism;Metabolism of Cofactors and Vitamins;Pantothenate and CoA biosynthesis"	"[['Metabolism', 'Metabolism of Cofactors and Vitamins', 'Pantothenate and CoA biosynthesis']]"
"65"	"K01959"	14.5362645647487	1.95925873941268	0.456405535436378	4.29280231568487	1.764320808761e-05	0.000299542466198534	"K01959"	"pyruvate carboxylase subunit A [EC:6.4.1.1]"	"Metabolism;Carbohydrate Metabolism;Citrate cycle (TCA cycle)|Metabolism;Energy Metabolism;Carbon fixation pathways in prokaryotes|Metabolism;Carbohydrate Metabolism;Pyruvate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Citrate cycle (TCA cycle)'], ['Metabolism', 'Energy Metabolism', 'Carbon fixation pathways in prokaryotes'], ['Metabolism', 'Carbohydrate Metabolism', 'Pyruvate metabolism']]"
